stage,status,started_at_utc,ended_at_utc,git_commit,output_dir,log_path,exit_code,acceptance_pass,notes
A0_bootstrap,passed,2026-07-18T17:50:48.681811+00:00,2026-07-18T17:50:49.450272+00:00,abccfb63a095227f7e7474e7d7766920e52aff2e,runs/partial_state_temporal_residual_editor_v1/A0_bootstrap_v1,,0,True,Pod/GPU/tests verified and historical artifacts snapshotted read-only.
A1_source_audit,passed,2026-07-18T17:50:58.111874+00:00,2026-07-18T17:50:58.668269+00:00,abccfb63a095227f7e7474e7d7766920e52aff2e,runs/partial_state_temporal_residual_editor_v1/A1_source_audit_v1,,0,True,Paper sources hashed; unavailable official TimeROME code explicitly limits reproduction claims.
B0_fresh_protocol,passed,2026-07-18T18:01:52.337732+00:00,2026-07-18T18:04:36.833292+00:00,8b5bca6b3e39a56ef2e768f4642a2a9c3fa6aa77,runs/partial_state_temporal_residual_editor_v1/protocol_v1,,0,True,Fresh disjoint CounterFact/KAMEL manifests and train-only protection anchors.
C0_timerome_source_reproduction,passed_component_branch,2026-07-18T18:08:56.780652+00:00,2026-07-18T18:08:57.213867+00:00,79f2905eb2fd0608786260acc452b0d39261ae76,runs/partial_state_temporal_residual_editor_v1/C0_timerome_source_reproduction_v1,,0,True,Official TimeROME code/checkpoint unavailable; equation and synthetic causal/residual invariants validated.
C1_temporal_localization,passed,2026-07-18T18:21:42.145962+00:00,2026-07-18T18:25:59.871611+00:00,9acabcc7547bdd6453b74aa7a0b30a4dd13d1e9e,runs/partial_state_temporal_residual_editor_v1/C1_temporal_localization_v1,,0,True,50-edit localization; stable-vs-random proxy delta=0.0398
C2_fullmask_temporal_residual,passed,2026-07-18T18:34:13.963347+00:00,2026-07-18T18:44:34.142019+00:00,4bdccbc4e41849fe74a009b93013cf88a7ec4395,runs/partial_state_temporal_residual_editor_v1/C2_fullmask_temporal_residual_v1,,0,True,rewrite gain=0.8200; stable-random stress delta=0.2456
D1_partial_state_target_delta,passed,2026-07-18T18:52:02.673590+00:00,2026-07-18T19:31:22.593562+00:00,bba3137280d3130dec9eeb869e96c9cec04bb02c,runs/partial_state_temporal_residual_editor_v1/D1_partial_state_target_delta_v1,,0,True,selected=state_bucketed_delta; diffusion_specific_pass=False
D2_state_conditioned_protection,passed,2026-07-18T19:34:26.748254+00:00,2026-07-18T19:38:21.950353+00:00,c47dc8129efb699ebc0e1c97ff3a782c8ceed585,runs/partial_state_temporal_residual_editor_v1/D2_state_conditioned_protection_v1,,0,True,selected=state_conditioned_sparsification; state_conditioning_pass=False; rescue_triggered=False
E1_smoke20,passed,2026-07-18T19:45:53.040129+00:00,2026-07-18T19:56:43.756965+00:00,07915e06465671fb07101273b68b87819f462e13,runs/partial_state_temporal_residual_editor_v1/E1_smoke20_v1,,0,True,selected=prompt_memory; missing=[]
E2_pilot100,failed,2026-07-18T20:01:13.916076+00:00,2026-07-18T21:04:43.569729+00:00,d79b6f1aa63b3f9916d4b72764829e45ed47d89b,runs/partial_state_temporal_residual_editor_v1/E2_pilot100_v1,,0,False,"positive_classes={'full_editor': False, 'pareto_locality': False, 'diffusion_specific_partial_state': False, 'state_conditioning': False}; candidates=[]"
H1_final_package,passed,2026-07-18T21:09:25.539285+00:00,2026-07-18T21:09:30.939522+00:00,280b5368505e569f29fc19c0f078aa000bff6087,runs/partial_state_temporal_residual_editor_v1/final_research_package_v1,,0,True,Terminal formal_negative package assembled.
