bucket,expected_exact,method,num_prompt_rows,relation_id,target_new_hit_rate
attribute,0.0,prompt_memory,6,P101,0.5
declarative_paraphrase,1.0,prompt_memory,4,P101,1.0
far_locality,0.0,prompt_memory,2,P101,0.0
generation,0.0,prompt_memory,6,P101,0.0
near_locality,0.0,prompt_memory,20,P101,0.4
rewrite,1.0,prompt_memory,2,P101,1.0
same_subject,0.0,prompt_memory,2,P101,0.0
attribute,0.0,prompt_memory,6,P103,0.5
declarative_paraphrase,0.5,prompt_memory,4,P103,0.5
far_locality,0.0,prompt_memory,2,P103,0.0
generation,0.0,prompt_memory,6,P103,0.3333333333333333
near_locality,0.3,prompt_memory,10,P103,0.0
rewrite,0.5,prompt_memory,2,P103,0.5
same_subject,0.0,prompt_memory,2,P103,0.0
attribute,0.0,prompt_memory,12,P106,0.5
declarative_paraphrase,0.25,prompt_memory,8,P106,0.25
far_locality,0.0,prompt_memory,4,P106,0.0
generation,0.0,prompt_memory,12,P106,0.16666666666666666
near_locality,0.34782608695652173,prompt_memory,23,P106,0.043478260869565216
rewrite,0.75,prompt_memory,4,P106,0.75
same_subject,0.0,prompt_memory,4,P106,0.25
attribute,0.0,prompt_memory,5,P108,0.8
declarative_paraphrase,1.0,prompt_memory,4,P108,1.0
far_locality,0.0,prompt_memory,2,P108,0.0
generation,0.0,prompt_memory,6,P108,0.3333333333333333
near_locality,0.0,prompt_memory,11,P108,0.8181818181818182
rewrite,1.0,prompt_memory,2,P108,1.0
same_subject,0.0,prompt_memory,2,P108,0.0
attribute,0.0,prompt_memory,12,P127,0.16666666666666666
declarative_paraphrase,0.375,prompt_memory,8,P127,0.375
far_locality,0.0,prompt_memory,4,P127,0.0
generation,0.0,prompt_memory,12,P127,0.6666666666666666
near_locality,0.058823529411764705,prompt_memory,34,P127,0.08823529411764706
rewrite,0.75,prompt_memory,4,P127,0.75
same_subject,0.0,prompt_memory,4,P127,0.25
attribute,0.0,prompt_memory,6,P1303,0.6666666666666666
declarative_paraphrase,0.0,prompt_memory,4,P1303,0.0
far_locality,0.0,prompt_memory,2,P1303,0.0
generation,0.0,prompt_memory,6,P1303,0.3333333333333333
near_locality,0.07692307692307693,prompt_memory,13,P1303,0.38461538461538464
rewrite,1.0,prompt_memory,2,P1303,1.0
same_subject,0.0,prompt_memory,2,P1303,0.0
attribute,0.0,prompt_memory,6,P131,0.6666666666666666
declarative_paraphrase,0.5,prompt_memory,4,P131,0.5
far_locality,0.5,prompt_memory,2,P131,0.0
generation,0.0,prompt_memory,6,P131,0.0
near_locality,0.05,prompt_memory,20,P131,0.4
